Year,Korea,Japan,USA
1953,200739.4219,1099584.875,11682797.0
1954,198661.0938,1143398.75,12073595.0
1955,197240.2344,1199048.0,12512252.0
1956,195586.7031,1267903.0,12946795.0
1957,196965.25,1357632.375,13370985.0
1958,197325.2188,1443924.375,13754814.0
1959,195871.75,1551703.75,14239896.0
1960,194873.2813,1707237.5,14711919.0
1961,195530.7188,1906432.0,15205274.0
1962,195990.4219,2115536.75,15759578.0
1963,204282.9063,2346088.25,16361409.0
1964,208317.5313,2616576.5,17023690.0
1965,212549.1406,2886455.5,17752528.0
1966,225487.6563,3195100.0,18530992.0
1967,239632.9375,3578192.0,19263546.0
1968,260256.875,4051511.75,20015188.0
1969,280355.0,4607640.0,20760190.0
1970,298706.0625,5270958.5,21404620.0
1971,317799.6875,5929284.0,22058784.0
1972,336639.375,6636370.0,22805318.0
1973,363335.7813,7417648.0,23631744.0
1974,394652.7188,8060057.0,24335552.0
1975,428986.125,8662330.0,24870554.0
1976,475819.25,9265912.0,25504852.0
1977,540756.1875,9870659.0,26279792.0
1978,631268.5625,10524471.0,27203124.0
1979,724673.1875,11204698.0,28174168.0
1980,796452.875,11838824.0,28983298.0
1981,861023.8125,12456722.0,29770398.0
1982,934477.1875,13036599.0,30400942.0
1983,1023469.625,13589490.0,31125584.0
1984,1123696.125,14149388.0,32101154.0
1985,1227438.5,14728835.0,33160380.0
1986,1347880.5,15344432.0,34217176.0
1987,1494464.125,16036289.0,35245908.0
1988,1661152.0,16849184.0,36263700.0
1989,1855717.625,17704652.0,37283484.0
1990,2108021.0,18591444.0,38223836.0
1991,2394781.25,19460336.0,38987084.0
1992,2672333.0,20222834.0,39793464.0
1993,2966203.25,20855448.0,40663208.0
1994,3303437.25,21421044.0,41620812.0
1995,3681087.25,22009798.0,42632688.0
1996,4078959.25,22656004.0,43758388.0
1997,4445789.0,23215934.0,44977188.0
1998,4668163.0,23665848.0,46345160.0
1999,4920904.0,24064154.0,47827892.0
2000,5225204.5,24436208.0,49368260.0
2001,5516550.0,24751466.0,50734816.0
2002,5829945.0,24968428.0,51925832.0
2003,6155792.5,25157068.0,53184000.0
2004,6481699.0,25328238.0,54572836.0
2005,6799244.5,25517398.0,56084488.0
2006,7123341.0,25687838.0,57575292.0
2007,7459716.5,25812342.0,58915288.0
2008,7769014.5,25871006.0,59981812.0
2009,8062310.5,25807276.0,60510768.0
2010,8376644.0,25730574.0,61054676.0
2011,8676902.0,25674480.0,61672648.0
2012,8953498.0,25655914.0,62435632.0
2013,9230478.0,25688360.0,63232928.0
2014,9511454.0,25749982.0,64124212.0
2015,9813657.0,25821588.0,65057816.0
2016,10148951.0,25880770.0,65974060.0
2017,10544942.0,25966410.0,66942704.0
2018,10894959.0,26049552.0,68007352.0
2019,11198647.0,26138818.0,69059064.0
