Year,Korea,Japan,USA
1953,12.20976293751907,13.910443280176809,16.27362797587427
1954,12.19935560564365,13.949515744580696,16.306531394625353
1955,12.192177728737276,13.997038466569473,16.34221888222937
1956,12.183759054210755,14.052874912630442,16.37635882513154
1957,12.190782596221446,14.12125283984822,16.408597618765345
1958,12.192608503406598,14.182875225179798,16.436899429893877
1959,12.185215387306247,14.254864078772915,16.471558160550646
1960,12.180104786821506,14.35038712508032,16.504168539541514
1961,12.183472775475789,14.460743990190208,16.537152899319267
1962,12.185821069161438,14.564819120771093,16.57295886538576
1963,12.227261107701693,14.668259924708849,16.610436010124733
1964,12.246818787413691,14.777377341898044,16.650116461371244
1965,12.266928490494829,14.875539836769796,16.692038486279785
1966,12.326020697180503,14.977128944208511,16.734955131637026
1967,12.386863604473305,15.090368202874362,16.773725059537224
1968,12.469424403035115,15.214600641039146,16.81200194331998
1969,12.543811936242076,15.343226353305948,16.848547768435882
1970,12.607215300282132,15.477722782537521,16.87911734454212
1971,12.669176549761424,15.595414021694125,16.909221447876863
1972,12.726767532507004,15.708075685217944,16.942504312341175
1973,12.803082703037456,15.81937258376235,16.978101450925497
1974,12.885761464255097,15.902431186418102,17.00744888437028
1975,12.969179854729777,15.974494297468102,17.029195091365825
1976,13.072793334208288,16.041852847827514,17.05437926653856
1977,13.200723786190895,16.10507717716457,17.08431083678528
1978,13.355486665079955,16.169213674986917,17.118842377612307
1979,13.493476056344761,16.231843712600487,17.15391608772917
1980,13.587923241484615,16.28689485816282,17.18223029100428
1981,13.66587743982185,16.337770954849518,17.20902510206618
1982,13.747742494129817,16.38327126756175,17.229984152738474
1983,13.838709006066152,16.42480725782933,17.25354067562533
1984,13.932133921460752,16.46518193023478,17.284402537609814
1985,14.02044003556268,16.50531769501909,17.316866347755575
1986,14.114043916673127,16.546263230036455,17.348238298183684
1987,14.217278255734172,16.590364774532752,17.377859995377772
1988,14.323021895546413,16.639812786290303,17.406327798901497
1989,14.433782039050973,16.689337987870413,17.434060998350645
1990,14.561260150643106,16.738212032850974,17.45896985804041
1991,14.688802448538846,16.783888900760125,17.478740969754703
1992,14.798462431622033,16.822322919994498,17.499213235663376
1993,14.902793325967371,16.85312576704153,17.520834261232206
1994,15.010474075266373,16.879884361291946,17.54411088859048
1995,15.118718714878405,16.906998275814004,17.568131840940755
1996,15.221352428056118,16.93593545202924,17.59419387810516
1997,15.30746791399053,16.960349411235075,17.621665985867118
1998,15.356276190373631,16.97954355418988,17.65162742165422
1999,15.409002811427793,16.99623390531229,17.683119541927564
2000,15.469004493805228,17.011576524746996,17.71481826553861
2001,15.52326322285936,17.02439527754804,17.742122939001053
2002,15.578518124319912,17.033122704727518,17.765326950708335
2003,15.632904066420249,17.040649448824638,17.789268157197256
2004,15.684493225320335,17.047430457773878,17.815046807758883
2005,15.73232206103277,17.05487105199502,17.842369826019166
2006,15.778887414901794,17.06152820828501,17.868604075303843
2007,15.825027968776858,17.066363307601417,17.89161117351617
2008,15.865653880322887,17.06863344014754,17.909551940898844
2009,15.902710735933976,17.066167025636826,17.918331890634967
2010,15.940957914918837,17.063190492598288,17.92728034854449
2011,15.976175110485732,17.06100806040924,17.937351084265412
2012,16.007554851882592,17.0602846683071,17.94964669600758
2013,16.038021392787073,17.061548528979042,17.962335736095344
2014,16.068007314527783,17.063944486044647,17.97633257288068
2015,16.09928554494989,17.06672144420263,17.99078690943281
2016,16.13288090835742,17.069010779859163,18.004772192431016
2017,16.171156871642808,17.07231433765675,18.019347647314653
2018,16.20381076315965,17.075511128319032,18.035126374943147
2019,16.231303525396555,17.078932047081366,18.050472696402473
