Year,Korea,Japan,USA
1955,,40895830.0,62170330.0
1956,,41705000.0,63800580.0
1957,,42796670.0,64067920.0
1958,,42973330.0,63036330.0
1959,,43356670.0,64629830.0
1960,,44380830.0,65776000.0
1961,,44976670.0,65745410.0
1962,,45553330.0,66702500.0
1963,,45936670.0,67762840.0
1964,,46550000.0,69304410.0
1965,,47288330.0,71088090.0
1966,,48272500.0,72898160.0
1967,,49197500.0,74371590.0
1968,,50016670.0,75920000.0
1969,,50403330.0,77901660.0
1970,,50939170.0,78678000.0
1971,,51218330.0,79366500.0
1972,,51443330.0,82153000.0
1973,,52590000.0,85064910.0
1974,,52368330.0,86794910.0
1975,,52226670.0,85847160.0
1976,,52705000.0,88753160.0
1977,,53416670.0,92017160.0
1978,,54077500.0,96048750.0
1979,,54793330.0,98826250.0
1980,,55360000.0,99302750.0
1981,,55814170.0,100397300.0
1982,,56382500.0,99526410.0
1983,14504670.0,57324170.0,100833600.0
1984,14428830.0,57661670.0,105005300.0
1985,14970170.0,58070000.0,107149800.0
1986,15504830.0,58534170.0,109597500.0
1987,16354000.0,59106670.0,112440400.0
1988,16869330.0,60105830.0,114968400.0
1989,17560580.0,61280000.0,117325800.0
1990,18084750.0,62495000.0,118793300.0
1991,18648750.0,63687500.0,117718300.0
1992,19009330.0,64361670.0,118492000.0
1993,19234500.0,64496670.0,120259300.0
1994,19848420.0,64530000.0,123065200.0
1995,20414420.0,64565830.0,124899700.0
1996,20853080.0,64859170.0,126707500.0
1997,21213920.0,65567500.0,129557900.0
1998,19937420.0,65141670.0,131463500.0
1999,20291170.0,64623330.0,133487900.0
2000,21172980.0,64463330.0,136890800.0
2001,21613660.0,64120830.0,136933300.0
2002,22231480.0,63303330.0,136485200.0
2003,22221600.0,63161670.0,137735700.0
2004,22681870.0,63285830.0,139251900.0
2005,22831040.0,63561670.0,141729800.0
2006,23188070.0,63887500.0,144427000.0
2007,23561110.0,64275000.0,146046700.0
2008,23774820.0,64091670.0,145362500.0
2009,23687610.0,63145000.0,139877500.0
2010,24032810.0,62981670.0,139063900.0
2011,24526440.0,62934170.0,139869300.0
2012,24954790.0,62796670.0,142469100.0
2013,25299360.0,63265830.0,143929300.0
2014,25897210.0,63711670.0,146305300.0
2015,26177690.0,64018330.0,148833400.0
2016,26409110.0,64701670.0,151435800.0
2017,26724830.0,65424170.0,153337400.0
2018,26822070.0,66820000.0,155761000.0
2019,27122700.0,67495840.0,157538100.0
2020,26904330.0,67102500.0,147794800.0
