Year,Korea,Japan,USA
1960,0.859508567,22.5799595,15.71508388
1961,0.970488702,24.33797139,15.9272617
1962,1.13278819,25.36006338,16.12549793
1963,1.47267734,26.75752182,16.30100559
1964,1.918929086,28.18335146,16.54616288
1965,2.009766121,29.63109,16.86382039
1966,2.301080746,31.10401271,17.35266519
1967,2.599395278,32.81329954,17.89949615
1968,2.960184651,34.42734085,18.68120084
1969,3.377256111,35.95364214,19.60750603
1970,3.878634226,43.3014497,20.70595188
1971,4.313335332,45.5060789,21.75557126
1972,4.993996953,48.05643142,22.69601053
1973,5.629291503,54.16219142,23.93972483
1974,7.351594054,65.43337076,26.09398757
1975,9.092618177,70.12981225,28.5109724
1976,11.02361125,75.745728,30.08004138
1977,12.61695265,80.85788795,31.94902465
1978,15.37195618,84.58038967,34.19626498
1979,18.22110529,86.90772992,37.03337762
1980,22.71278928,91.63375828,40.37863111
1981,26.47988331,94.31572496,44.19931567
1982,28.19003247,95.96150486,46.93006762
1983,29.54887254,96.86897409,48.76821849
1984,30.85531691,98.29622396,50.52763215
1985,32.08503565,99.53490339,52.12554081
1986,33.67875715,101.1396072,53.17529785
1987,35.30581422,100.979914,54.49022194
1988,37.82075627,101.6113347,56.41232173
1989,40.11463273,103.754206,58.62388115
1990,44.16118256,106.4573197,60.81836633
1991,48.19797096,109.5742283,62.87509846
1992,51.94679184,111.4004348,64.30796557
1993,55.1958158,112.0336052,65.83228275
1994,59.69921959,114.4315828,67.23808092
1995,63.89282807,113.8325804,68.64799672
1996,66.51925443,113.3251428,69.90491949
1997,69.18221027,113.8968237,71.15493559
1998,72.27875286,113.8664358,71.9557989
1999,71.38984318,112.4532948,72.99469926
2000,72.11927961,110.9506263,74.62647708
2001,74.62794814,109.7469453,76.26335314
2002,76.89151802,108.2203888,77.46965865
2003,79.54427036,106.4805256,78.90834397
2004,82.03231992,105.2828684,81.03272397
2005,82.88660572,104.0257724,83.5568466
2006,82.70160645,103.1290511,86.08544777
2007,84.70232036,102.4017401,88.397943
2008,87.09626399,101.4683172,90.11739942
2009,90.23925821,100.8903893,90.8044094
2010,92.70955505,98.9929014,91.86250827
2011,93.89796528,97.3871571,93.78142768
2012,95.07338768,96.6508195,95.58001386
2013,96.04175178,96.30831311,97.25736261
2014,96.9127513,97.93235517,99.05645602
2015,100.0,100.0,100.0
2016,101.9860385,100.4199444,101.0492474
2017,104.2529652,100.3452826,102.9490418
2018,104.7564538,100.3499276,105.4208289
2019,103.8772064,100.9930233,107.3027504
2020,105.2410197,101.8435509,108.595965
