Year,Korea,Japan,USA,Korea2
1950.0,,,1968.0,
1951.0,,,1987.0,
1952.0,,,1988.0,
1953.0,,,1993.0,
1954.0,,,1984.0,
1955.0,,,2003.0,
1956.0,,,2002.0,
1957.0,,,1973.0,
1958.0,,,1947.0,
1959.0,,,1958.0,
1960.0,,,1952.0,
1961.0,,,1941.0,
1962.0,,,1960.0,
1963.0,,,1972.0,
1964.0,,,1975.0,
1965.0,,,1984.0,
1966.0,,,1974.0,
1967.0,,,1951.0,
1968.0,,,1940.0,
1969.0,,,1938.0,
1970.0,,2243.0,1907.0,
1971.0,,2239.0,1894.0,
1972.0,,2228.0,1890.0,
1973.0,,2201.0,1891.0,
1974.0,,2137.0,1860.0,
1975.0,,2112.0,1839.0,
1976.0,,2128.0,1841.0,
1977.0,,2129.0,1844.0,
1978.0,,2123.0,1836.0,
1979.0,,2126.0,1834.0,
1980.0,2587.2,2121.0,1816.0,
1981.0,2572.8,2106.0,1812.0,
1982.0,2683.2,2104.0,1803.0,
1983.0,2659.2,2095.0,1822.0,
1984.0,2644.8,2108.0,1839.0,
1985.0,2644.8,2093.0,1838.0,
1986.0,2587.2,2097.0,1829.0,
1987.0,2664.0,2096.0,1839.0,
1988.0,2678.3999999999996,2092.0,1837.0,
1989.0,2616.0,2070.0,1848.0,
1990.0,2582.3999999999996,2031.0,1833.0,
1991.0,2563.2,1998.0,1823.0,
1992.0,2520.0,1965.0,1822.0,
1993.0,2529.6000000000004,1905.0,1828.0,
1994.0,2515.2,1898.0,1839.0,
1995.0,2520.0,1884.0,1839.0,
1996.0,2510.3999999999996,1892.0,1840.0,
1997.0,2467.2,1865.0,1843.0,
1998.0,2404.8,1842.0,1842.0,
1999.0,2419.2,1810.0,1839.0,
2000.0,2428.8,1821.0,1832.0,
2001.0,2419.2,1809.0,1811.0,
2002.0,2390.3999999999996,1798.0,1806.0,
2003.0,2356.8,1799.0,1796.0,
2004.0,2337.6000000000004,1787.0,1798.0,
2005.0,2308.8,1775.0,1794.0,
2006.0,2299.2,1784.0,1796.0,
2007.0,2260.8,1785.0,1795.0,
2008.0,2208.0,1771.0,1786.0,2228.0
2009.0,2203.2,1714.0,1761.0,2174.0
2010.0,2169.6000000000004,1733.0,1772.0,2163.0
2011.0,2107.2,1728.0,1778.0,2136.0
2012.0,2140.8,1745.0,1782.0,2119.0
2013.0,2068.8,1734.0,1780.0,2106.0
2014.0,2107.2,1729.0,1782.0,2076.0
2015.0,2097.6000000000004,1719.0,1783.0,2083.0
2016.0,2064.0,1714.0,1778.0,2068.0
2017.0,2054.3999999999996,1709.0,1778.0,2018.0
2018.0,1992.0,1680.0,1782.0,1993.0
2019.0,1953.6000000000001,1644.0,1777.0,1967.0
2020.0,1872.0,1598.0,1767.0,1908.0
,1867.1999999999998,,,
