Year,Korea,Japan,USA
1960,460517894872.8268,196224191411.8579,3457188037611.671
1961,249107308927.74472,219856523296.70193,3536703361884.234
1962,248441724749.97287,239443481564.3588,3752442266444.7915
1963,270852580104.2067,259733065956.25528,3917549727065.642
1964,180253631217.30286,290061338155.69995,4144767611522.509
1965,155283408372.27197,306942060713.93256,4410032737546.252
1966,170741873696.9433,339596054646.8025,4696684867000.537
1967,186809108376.0136,377231188985.1477,4814101988004.841
1968,206719681893.24957,425827253515.57324,5045178883693.218
1969,227361535270.90323,478961211577.54846,5201579427998.269
1970,232169951052.24957,490997418037.9462,5183533730882.0205
1971,229601901213.83307,527736086705.55005,5354260690647.568
1972,217507699348.4101,661786550941.5305,5635836299552.51
1973,246505824482.61606,797757602991.7588,5954036690571.268
1974,265848394204.60196,732999071313.6234,5921823929189.524
1975,239582231398.47565,743680873036.9872,5909654628265.151
1976,271258471120.3418,773854863471.6403,6228083187563.753
1977,304720867784.1872,892197432173.9626,6516098762971.157
1978,338096900807.0644,1198398356823.2715,6876774411987.259
1979,367414049589.74365,1213942650407.6843,7094491966028.779
1980,287937540175.16254,1206313067092.9412,7076292388952.162
1981,275429276255.3718,1292456799242.1016,7255858945745.529
1982,277966569986.7142,1182265744639.1362,7125048331647.812
1983,297000708985.42645,1283506934681.5254,7451656247695.752
1984,316024094876.1657,1341231582340.836,7990894938463.884
1985,315711040825.97455,1405426591432.7925,8324095889605.794
1986,346916008448.96375,2055525088098.2263,8612325995650.252
1987,419047126567.019,2508231488491.86,8910259175207.904
1988,527728738619.4301,3022969838029.3,9282440146786.703
1989,615553435730.0347,2944372202125.473,9623347839364.266
1990,641667599401.3508,2942794360057.5166,9804834229916.744
1991,686022654925.472,3271225410948.205,9794227207322.293
1992,684402226599.5627,3508792409129.807,10139226054200.926
1993,711405374318.2467,3975717814354.51,10418232079306.105
1994,776588041157.005,4368374427483.668,10837965480707.834
1995,886770889808.2589,4871680832072.222,11128875371499.7
1996,917283281703.192,4344481620189.9375,11548715110321.916
1997,823557093328.4668,3944315437481.335,12054750564914.398
1998,530350877445.9505,3599269592664.285,12594982111997.646
1999,696896053890.4492,4122582631522.861,13193642959876.48
2000,798923676325.9454,4477991847081.624,13738153536323.947
2001,733851075434.3782,3986179285483.9487,13875340598484.467
2002,815754476113.8011,3865121948258.977,14117010698871.85
2003,883428808661.7129,4244494450542.043,14520897820839.16
2004,966905484050.0967,4647593739001.891,15072552669612.543
2005,1127927717486.9453,4644493271746.186,15602072757015.701
2006,1273518188110.1174,4462040473482.064,16047543873976.646
2007,1384389465384.4167,4472336110233.736,16348683588712.014
2008,1202508525647.2664,5032782784733.124,16326258962966.422
2009,1046043616408.4021,5242808593266.078,15912112743723.215
2010,1234036771488.097,5817659568062.727,16320150932451.78
2011,1334661508652.4482,6400381924692.204,16573217517048.574
2012,1344677023924.893,6489712174659.833,16946011353089.379
2013,1427295915155.7866,5412128851272.328,17258127867713.932
2014,1531604438104.5242,5000380100631.047,17694152107017.812
2015,1465770000000.0,4444930000000.0,18238300000000.0
2016,1470897411119.6602,4982755198577.862,18550459783038.42
2017,1557653537129.3208,4913873250679.35,18983178141634.73
2018,1646533399548.8877,5019325993016.461,19552018529044.22
2019,1589780912706.5627,5098154141504.941,19974511296403.83
2020,1556332316685.0693,4966205474283.007,19294455369497.383
