Year,Korea,Japan,USA
1960,26.855617551545446,26.00252367623151,28.87147666868113
1961,26.2411496001239,26.116241003712304,28.89421615548309
1962,26.238474146933385,26.201583240831013,28.953428014977856
1963,26.324840524957345,26.282920271176895,28.996487504667343
1964,25.91763075835822,26.39335824844338,29.05286783817271
1965,25.768517725413464,26.449924839406187,29.114903228839626
1966,25.863418742446004,26.551022673668303,29.17787802832332
1967,25.95335312159532,26.65612406982602,29.202570640774372
1968,26.05462951871037,26.7772995927957,29.249454226725575
1969,26.14980725387138,26.894885453161002,29.279983431550956
1970,26.17073548806967,26.919704706148586,29.276508127044828
1971,26.159612781905594,26.991862159908184,29.308913750660842
1972,26.105500086151643,27.21820891028958,29.36016666404147
1973,26.230651458882726,27.405070632603703,29.41509054084296
1974,26.306192036647566,27.320410271865853,29.40966561351947
1975,26.20216254099901,27.334877845670892,29.40760850710514
1976,26.32633797125018,27.374650178058502,29.46008972683803
1977,26.442662006921143,27.516953281553004,29.505296963547213
1978,26.54659838012035,27.812007078566296,29.55917082246912
1979,26.629755249578057,27.82489456725864,29.590339819470667
1980,26.38600941916991,27.81858977183323,29.587771212592312
1981,26.34159672207678,27.887566018586334,29.612830388881196
1982,26.350766691559862,27.798453835902663,29.594637625449423
1983,26.41700036290258,27.88061724018927,29.639457438738617
1984,26.47908429723459,27.92460939908471,29.70932387675151
1985,26.4780932044233,27.97136199642546,29.750175544048293
1986,26.572348537014946,28.351552448560494,29.784215548366145
1987,26.7612492244508,28.550599034476463,29.818224445114804
1988,26.991848236021866,28.737260854179997,29.859145575014207
1989,27.14578759558572,28.710916736156317,29.89521332831526
1990,27.187336248611626,28.71038070848016,29.91389666874518
1991,27.254176488799693,28.816185774048172,29.912814267563473
1992,27.251811632319125,28.886293051226996,29.94743278516292
1993,27.290508250998222,29.011226429959386,29.974578471765387
1994,27.37817585515169,29.105412071275115,30.01407640804321
1995,27.51085248804272,29.214460133531816,30.040564231321746
1996,27.544682183746158,29.099927562624003,30.077595300848497
1997,27.4368987142501,29.003296528548198,30.12047993592616
1998,26.996804657362347,28.911752049878878,30.164319605485797
1999,27.26990210299926,29.047500935211513,30.21075623556851
2000,27.406531254152412,29.130195813442807,30.25119800768952
2001,27.32157195047148,29.01385431550441,30.26113432289828
2002,27.42737925951947,28.983014349412997,30.278401618701814
2003,27.50707654669519,29.076643835676776,30.30660995680472
2004,27.59736658620605,29.167370726107702,30.343896501721684
2005,27.75140318670912,29.166703391123175,30.3784248903972
2006,27.87280441325068,29.126627282601934,30.406576924135564
2007,27.95628033916147,29.128932007774985,30.425168495578482
2008,27.81543092883655,29.246994184582235,30.42379590682912
2009,27.676036178989122,29.2878784617509,30.39810174290781
2010,27.841311839580495,29.391919160721805,30.42342171373374
2011,27.919698824059928,29.487378780246807,30.438809105768026
2012,27.92717496923545,29.501239296610226,30.461053603661483
2013,27.986802801639964,29.319663634392757,30.47930432917217
2014,28.057336954236998,29.240535045599476,30.504255311483696
2015,28.01340181758934,29.122785236738917,30.534544894476795
2016,28.01689381420466,29.237004106703722,30.551515690822445
2017,28.074201661965667,29.22308359618233,30.574574341964887
2018,28.1296932237371,29.244316776278573,30.604099646597533
2019,28.09461733191608,29.25989965710701,30.625478141519583
2020,28.07335309001604,29.233677178373412,30.59083888401016
