Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,56.92388366,58.9735405,60.79716724,63.20948755,66.88558572,70.63928959,73.31833761,77.20166069,82.06779536,84.83400312,87.61673873,90.86345431,96.83240842,98.96260328,100,105.6290576,110.4113871,112.7279411,115.1752236,119.0137774,122.5190838,129.8087328,136.393772,138.7493924,137.8099839,142.0921544,143.2133838,147.9203575,150.8839129,151.5476875,149.4692337,151.8817441,,,
Africa Eastern and Southern,AFE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.31944307,45.01877021,50.09303031,55.55956927,59.55972008,72.97718861,74.50700121,72.89511344,75.67579254,88.23293919,94.67549354,99.24148949,99.8041337,102.2469027,100,102.4036562,104.5247929,111.3413562,120.0501064
Africa Western and Central,AFW,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,4.29E-08,4.20E-08,4.20E-08,4.20E-08,4.20E-08,5.00E-08,4.55E-08,4.99E-08,5.10E-08,5.93E-08,6.77E-08,1.40E-07,8.05E-07,8.19E-06,0.000186402,0.00358917,0.175888394,0.343779182,0.479088428,3.150011749,16.31765909,33.67183637,100.000002,193.9268583,258.7763461,368.4342735,431.503212,450.0941634,537.2770455,447.2235991,591.513327,779.4462746,836.0003277,859.7409736,890.354809,859.0286866,1046.075655,1282.640554,1655.452274,2120.480028,2319.491774
Albania,ALB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,2.709732104,2.651755435,2.651285568,2.65084134,2.650089555,2.659397262,2.59511164,2.595103697,2.595088682,2.59518416,2.583989344,3.501673702,11.66003623,26.31096669,35.7414684,39.30512966,54.30870662,60.41281217,64.47911392,65.83501296,69.55302653,72.20359317,74.8372021,78.72771531,81.20950334,83.89495394,85.97402936,89.74546017,93.44035744,95.70005929,100,102.3147438,103.3815946,103.6801048,105.2870604,105.8808703,105.2110114,106.7376891,108.3099973,109.6324726,109.1417039
Andorra,AND,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,4.33139499,4.671230654,5.069129711,5.669792883,6.573852771,7.677063294,8.943000069,11.03415005,13.31061012,15.56432124,17.64290737,19.82201341,22.51430862,25.18996202,27.92678448,30.32722112,33.62646348,35.62528732,37.74004891,40.34268086,43.29828395,46.30108418,49.40824297,51.65000965,53.65395685,56.30077149,56.7495887,58.01406051,58.88401258,60.49271175,77.8792565,80.27835439,82.87899719,85.51246424,88.11411598,91.10656134,94.25628289,97.28306641,99.49561247,99.62708212,100,100.1967642,100.3716645,100.8218236,100.7371138,101.4025721,101.7552455,102.9117034,103.9536622,105.3827689,106.4978193
Arab World,ARB,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,27.95144203,31.24253743,32.884569,31.68062826,33.91443587,37.14172546,39.76188253,40.28390385,38.82642528,36.45899673,36.7289876,36.10515114,37.43583711,38.32720151,38.99841682,40.2993652,40.62613209,41.36017566,41.88877372,41.77882619,43.41132537,45.91748024,45.48020775,43.54527718,47.2219693,52.63338777,51.39686756,53.33496097,55.50697754,60.22585997,70.17897044,78.57388365,88.42230333,104.809921,88.89665179,99.99996054,113.1672106,115.7004023,114.6973988,113.5218666,95.99194943,92.92666305,98.03310702,106.0782305,101.3640746,92.88663488
Argentina,ARG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,7.19E-11,8.65E-11,1.11E-10,1.40E-10,1.80E-10,2.19E-10,2.74E-10,3.54E-10,3.91E-10,4.21E-10,4.48E-10,5.88E-10,9.66E-10,1.60E-09,2.09E-09,6.22E-09,3.35E-08,8.69E-08,2.27E-07,5.62E-07,1.10E-06,2.26E-06,6.65E-06,3.19E-05,0.00022708,0.001606471,0.002848149,0.006480676,0.031188016,0.981203426,21.37371925,51.40430321,59.66599949,57.54123623,59.18078152,61.05392628,61.02194898,60.73886015,59.70309274,58.60661058,59.21452939,58.5656757,76.46053741,84.48560835,99.9999999,110.3175111,125.4762982,144.2223631,177.6403647,204.9572772,247.8243464,306.5673214,374.9774534,464.7800478,652.0072626,825.3107382,1164.673397,1467.562778,2084.433257,3145.857912,4400.778931
Armenia,ARM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00192948,0.00346122,0.02314889,0.345188503,14.52310475,37.92910932,45.3600933,53.40515695,59.11870647,59.15051475,58.33797832,60.68781429,62.11846823,64.97499576,69.05451201,71.27030327,74.56157479,77.75122616,82.40818434,84.46612526,91.0280582,94.92547003,100,103.3668246,105.7537532,107.0375085,107.3249846,109.6331606,112.6894147,113.8902586,116.1937359
American Samoa,ASM,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.62068966,71.58469945,69.25170068,68.30601093,70.22792023,72.44755245,80.45977011,101.1994003,85.65022422,85.20179372,100,102.2435897,101.2598425,102.7480916,104.1925466,102.1702838,103.902439,105.8823529,111.4779874
Antigua and Barbuda,ATG,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,26.84185093,29.15972047,33.48862336,37.3059176,40.4219367,44.97857918,47.30508828,49.1236093,52.76428764,57.05135444,62.11548627,69.79954142,72.99685363,74.20165202,76.13564521,78.00957137,79.42406737,82.00105112,83.97183448,86.47183084,88.05192067,89.90973433,91.26217019,92.67974562,94.05380471,94.7138765,93.89471376,95.34023896,99.59397965,100,103.7341302,108.2783773,110.2673822,111.8920147,113.0281833,115.3291115,114.2374702,116.4211238,119.9341355,122.1813073,121.0451895,123.8931605,124.1509537,126.3173708
Australia,AUS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,6.098604009,6.295041334,6.290266688,6.402932305,6.613555735,6.810860967,6.993698931,7.334142722,7.499454478,7.855923179,8.259247739,8.688009261,9.226086326,10.05500581,11.70197507,13.63315552,15.54470896,17.31984738,18.74643244,20.36439877,22.40413428,24.53911671,27.41301611,30.19766714,32.57103764,34.07959443,36.27971312,38.83967585,41.63557944,45.48520892,48.26087683,49.72945589,50.47737522,50.92736323,51.44755441,52.61576852,54.05005271,54.73494353,55.38575856,55.65580603,57.07949373,59.71491104,61.40831815,63.25511079,65.30768311,67.79391461,71.26529161,74.81603511,78.26848354,82.1727804,83.13040837,88.29013053,89.86975571,89.73262207,91.02640903,90.46519262,89.92461006,93.29236767,94.99976288,98.24760139,100
Austria,AUT,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,16.27326465,17.10111063,17.67232248,18.32235753,18.90570259,19.91175357,20.53347141,21.20034981,21.80202251,22.39799668,23.84297878,25.32228649,27.24676294,29.43891267,32.23623923,34.31798331,36.24834222,38.13278919,40.41809359,42.08104398,44.42943099,47.41360822,49.95274416,51.68749475,54.24590862,55.85321262,57.50143925,58.90271954,59.80207892,61.57506736,63.42212272,65.73187495,68.0187482,69.89408266,71.65886814,72.95870139,73.67822412,74.61172393,74.94143704,75.13354918,76.15840153,77.64128588,78.53074108,79.55757181,80.94164989,82.99578235,84.56619623,86.44456017,88.13569436,89.80081047,90.5848209,92.24561228,94.14055457,95.6692918,97.75077551,100,101.8482947,102.8724141,104.7261035,106.4253782,108.8862996
Azerbaijan,AZE,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002554933,0.004689567,0.054648898,0.462944215,6.879663,44.41898149,56.15410455,61.34415024,60.75209652,62.06564391,69.81936419,71.57532816,74.59178889,79.78447025,87.16610198,100,111.3012191,134.7071183,172.1253334,139.6883882,158.6103212,194.3362831,199.9388679,200.8287246,198.2480841,180.7037383,207.2155072,240.7272284,270.059545,269.4078701,248.9810339
Burundi,BDI,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.212037163,2.656157517,2.561401317,2.68145802,2.826718436,2.79762122,2.885803191,2.732336576,2.815859,2.966841976,3.120658248,3.163730165,3.299479814,3.481295751,3.914897321,4.740428031,5.123215141,5.85604627,6.588503275,8.310125802,9.671658838,9.085235688,9.600552214,10.2177284,11.97683244,12.58391879,12.04816924,11.63638751,12.04263971,13.81979431,14.6469866,15.24650839,16.07008829,17.31433828,18.46374118,21.4369042,24.53520385,32.48406748,36.20367382,41.61762198,57.82556042,65.75714952,66.43304002,74.36896399,84.14562649,100,102.8456663,111.3544704,138.3198437,152.7864324,165.8673219,179.7408754,205.4302316,221.7731498,233.5378906,283.3609636,286.0825611,318.8366483,309.7470711,312.2939572,349.4507261
Belgium,BEL,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,14.92706512,15.12342599,15.37563815,15.8408737,16.57627463,17.42178281,18.13363946,18.71272471,19.20305223,19.9757497,21.31022414,22.45207236,23.8705537,25.49541905,28.5977884,32.28396405,34.72955927,37.32665654,38.977708,40.73374783,42.41466543,44.5944385,47.97042312,50.66293119,53.41834476,55.89040801,57.4535404,58.42112173,59.68826996,62.55178926,64.3109981,66.16098402,68.42668316,71.15911932,72.64940815,73.53629003,73.8867785,74.44656277,75.7908023,76.24471173,77.78075095,79.3229898,80.62389301,82.11550653,83.68801105,85.43129443,87.36606306,89.05373174,90.75362983,91.23750949,92.9637942,94.64392836,96.50000875,97.72677298,98.68708077,100,101.9208507,103.7862803,105.3627109,107.2108472,108.5879966
Benin,BEN,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,5.681644773,5.740815448,5.957850486,6.109718546,6.087499211,6.21275684,6.28337511,6.29223922,6.498217241,6.72267837,7.061975103,7.173080011,7.554488892,7.918822245,9.10036674,10.39689014,11.85613838,12.46991725,14.00801407,15.82971229,17.44241487,18.74517981,21.77220468,22.80555918,23.25108424,22.11713311,21.31999347,21.96566091,21.83155903,22.31729691,22.80305451,22.97558701,23.67062941,24.23359316,32.72264818,37.6635887,40.26512338,41.74185047,43.9256191,65.16038057,67.98902897,69.328607,71.79269354,73.9907734,74.56028852,77.76165689,79.39023255,79.69997611,84.82799388,86.98236371,87.74857888,91.0243062,98.03218386,99.40198599,99.15568512,100,100.6835911,100.3131846,100.9857265,100.5842532,103.4791005
Burkina Faso,BFA,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,11.74559633,11.96883411,12.20945214,12.83793672,13.07058793,12.98483546,13.28389141,12.69793784,12.66443069,13.53994231,13.78141733,14.2468813,15.28642569,15.69577461,17.42461857,18.84928256,20.11699212,23.87122043,27.34026389,29.46009822,32.02146773,36.37146224,39.66181255,41.8072457,44.5251704,44.86225564,42.01544186,42.53530866,43.98514873,46.11034416,46.9449485,45.08227587,45.18463951,44.5331494,51.05234017,54.50836358,54.69843705,55.54965405,59.96047214,70.38809262,69.81106991,72.57667239,74.79533117,75.905839,75.97464657,78.81563141,78.29322027,80.2445607,87.59480232,89.70189956,93.09228936,99.36485229,105.1518608,102.9129977,102.2745389,100,102.6042992,104.0574811,105.175024,106.8758029,114.1807797
Bangladesh,BGD,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,2.181300223,2.317794683,2.318309778,2.438028663,2.224866341,2.401336174,2.552528834,2.930097967,2.761043492,3.087611869,3.103368232,3.195328944,3.335987953,5.384477485,7.782870047,14.05350949,11.57581684,11.20421507,14.07461011,15.84301534,18.62426731,20.46708088,22.48427799,24.39268862,26.31375099,31.18050968,33.7542752,37.50762611,40.31913598,43.68093476,46.5344946,47.80466852,49.03906245,49.11532711,51.06334722,54.71179208,65.18538704,67.66258311,70.86722687,73.54674346,76.08164917,78.56279358,81.62113899,86.36807478,90.30830414,94.45016871,100,106.4712601,114.8409298,122.6091776,131.3691901,141.6940871,153.2628052,164.2593401,173.5708547,183.7642841,196.1276739,208.4419281,220.1092292,229.9237941,239.3271556
Bulgaria,BGR,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,0.048113781,0.049471041,0.05041914,0.050093799,0.051464741,0.051582686,0.052276726,0.052310099,0.049490718,0.052821287,0.066654126,0.217650958,0.347324459,0.524776184,0.906314544,2.138646643,3.485274199,35.31320642,47.30239932,48.87242712,52.47962881,55.69019442,57.83336449,59.0995773,62.39825487,66.51295218,71.00688435,78.85156678,85.23894129,88.59567431,89.27275204,94.72997743,95.78350437,95.85243211,97.13756419,100,103.3220819,108.2921721,112.8758055,118.7869072,123.7790686
