Country Name,Japan,"Korea, Rep.",United States
Country Code,JPN,KOR,USA
Indicator Name,GDP deflator (base year varies by country),GDP deflator (base year varies by country),GDP deflator (base year varies by country)
Indicator Code,NY.GDP.DEFL.ZS,NY.GDP.DEFL.ZS,NY.GDP.DEFL.ZS
1960,22.5799595,0.859508567,15.71508388
1961,24.33797139,0.970488702,15.9272617
1962,25.36006338,1.13278819,16.12549793
1963,26.75752182,1.47267734,16.30100559
1964,28.18335146,1.918929086,16.54616288
1965,29.63109,2.009766121,16.86382039
1966,31.10401271,2.301080746,17.35266519
1967,32.81329954,2.599395278,17.89949615
1968,34.42734085,2.960184651,18.68120084
1969,35.95364214,3.377256111,19.60750603
1970,43.3014497,3.878634226,20.70595188
1971,45.5060789,4.313335332,21.75557126
1972,48.05643142,4.993996953,22.69601053
1973,54.16219142,5.629291503,23.93972483
1974,65.43337076,7.351594054,26.09398757
1975,70.12981225,9.092618177,28.5109724
1976,75.745728,11.02361125,30.08004138
1977,80.85788795,12.61695265,31.94902465
1978,84.58038967,15.37195618,34.19626498
1979,86.90772992,18.22110529,37.03337762
1980,91.63375828,22.71278928,40.37863111
1981,94.31572496,26.47988331,44.19931567
1982,95.96150486,28.19003247,46.93006762
1983,96.86897409,29.54887254,48.76821849
1984,98.29622396,30.85531691,50.52763215
1985,99.53490339,32.08503565,52.12554081
1986,101.1396072,33.67875715,53.17529785
1987,100.979914,35.30581422,54.49022194
1988,101.6113347,37.82075627,56.41232173
1989,103.754206,40.11463273,58.62388115
1990,106.4573197,44.16118256,60.81836633
1991,109.5742283,48.19797096,62.87509846
1992,111.4004348,51.94679184,64.30796557
1993,112.0336052,55.1958158,65.83228275
1994,114.4315828,59.69921959,67.23808092
1995,113.8325804,63.89282807,68.64799672
1996,113.3251428,66.51925443,69.90491949
1997,113.8968237,69.18221027,71.15493559
1998,113.8664358,72.27875286,71.9557989
1999,112.4532948,71.38984318,72.99469926
2000,110.9506263,72.11927961,74.62647708
2001,109.7469453,74.62794814,76.26335314
2002,108.2203888,76.89151802,77.46965865
2003,106.4805256,79.54427036,78.90834397
2004,105.2828684,82.03231992,81.03272397
2005,104.0257724,82.88660572,83.5568466
2006,103.1290511,82.70160645,86.08544777
2007,102.4017401,84.70232036,88.397943
2008,101.4683172,87.09626399,90.11739942
2009,100.8903893,90.23925821,90.8044094
2010,98.9929014,92.70955505,91.86250827
2011,97.3871571,93.89796528,93.78142768
2012,96.6508195,95.07338768,95.58001386
2013,96.30831311,96.04175178,97.25736261
2014,97.93235517,96.9127513,99.05645602
2015,100.0,100.0,100.0
2016,100.4199444,101.9860385,101.0492474
2017,100.3452826,104.2529652,102.9490418
2018,100.3499276,104.7564538,105.4208289
2019,100.9930233,103.8772064,107.3027504
2020,101.8435509,105.2410197,108.595965
