DATE,JPNASSETS
1998-04-01,800652
1998-05-01,771888
1998-06-01,753964
1998-07-01,724375
1998-08-01,763742
1998-09-01,783667
1998-10-01,775368
1998-11-01,883012
1998-12-01,912382
1999-01-01,797188
1999-02-01,755897
1999-03-01,797450
1999-04-01,791152
1999-05-01,744742
1999-06-01,734211
1999-07-01,686329
1999-08-01,680224
1999-09-01,688207
1999-10-01,680064
1999-11-01,841508
1999-12-01,1113478
2000-01-01,905251
2000-02-01,941085
2000-03-01,1062017
2000-04-01,797289
2000-05-01,838507
2000-06-01,837194
2000-07-01,807840
2000-08-01,885391
2000-09-01,853390
2000-10-01,920988
2000-11-01,1054097
2000-12-01,1067962
2001-01-01,1078487
2001-02-01,1102160
2001-03-01,1150959
2001-04-01,1123259
2001-05-01,1138146
2001-06-01,1169329
2001-07-01,1163779
2001-08-01,1133882
2001-09-01,1156156
2001-10-01,1107271
2001-11-01,1133942
2001-12-01,1175079
2002-01-01,1224388
2002-02-01,1313520
2002-03-01,1385648
2002-04-01,1328094
2002-05-01,1279453
2002-06-01,1241193
2002-07-01,1265421
2002-08-01,1284793
2002-09-01,1244691
2002-10-01,1246432
2002-11-01,1250866
2002-12-01,1251263
2003-01-01,1245386
2003-02-01,1325273
2003-03-01,1411674
2003-04-01,1283101
2003-05-01,1306815
2003-06-01,1252605
2003-07-01,1263771
2003-08-01,1283228
2003-09-01,1339295
2003-10-01,1322521
2003-11-01,1347558
2003-12-01,1313685
2004-01-01,1354300
2004-02-01,1405509
2004-03-01,1493819
2004-04-01,1382514
2004-05-01,1390667
2004-06-01,1347362
2004-07-01,1314783
2004-08-01,1382251
2004-09-01,1394564
2004-10-01,1384015
2004-11-01,1478802
2004-12-01,1445467
2005-01-01,1473561
2005-02-01,1514085
2005-03-01,1505173
2005-04-01,1473513
2005-05-01,1477619
2005-06-01,1442122
2005-07-01,1476503
2005-08-01,1513847
2005-09-01,1481357
2005-10-01,1477546
2005-11-01,1519701
2005-12-01,1556071
2006-01-01,1528656
2006-02-01,1523477
2006-03-01,1448629
2006-04-01,1299799
2006-05-01,1227935
2006-06-01,1138328
2006-07-01,1159675
2006-08-01,1132672
2006-09-01,1174523
2006-10-01,1151993
2006-11-01,1185414
2006-12-01,1155436
2007-01-01,1146223
2007-02-01,1176947
2007-03-01,1127409
2007-04-01,1060053
2007-05-01,1075105
2007-06-01,1000712
2007-07-01,1077171
2007-08-01,1107917
2007-09-01,1110324
2007-10-01,1073472
2007-11-01,1114939
2007-12-01,1112844
2008-01-01,1130604
2008-02-01,1142477
2008-03-01,1134262
2008-04-01,1072225
2008-05-01,1101273
2008-06-01,1014199
2008-07-01,1083652
2008-08-01,1098870
2008-09-01,1125287
2008-10-01,1168028
2008-11-01,1215262
2008-12-01,1227708
2009-01-01,1195135
2009-02-01,1221730
2009-03-01,1238886
2009-04-01,1147983
2009-05-01,1187973
2009-06-01,1098429
2009-07-01,1147349
